Unique ID, Manufacturer, Chemistry, Voltage (Volts)
00287 2012/12/13Hewlett-PackardPrimary, Hewlett-Packard, Lithium Ion, 11.280

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2021-11-06, 05:45:13, OK, 72%, 2.58, 6676, -11340, , 11.257, -11340, 72.1%, , , , , , , , , , , , 
2021-11-06, 05:45:14, OK, 72%, 2.58, 6676, -11340, , 11.257, -11340, 72.1%, , , , , , , , , , , , 
2021-11-06, 05:45:15, OK, 72%, 2.58, 6676, -11340, , 11.257, -11340, 72.1%, , , , , , , , , , , , 
2021-11-06, 05:45:16, OK, 72%, 2.58, 6676, -11340, , 11.257, -11340, 72.1%, , , , , , , , , , , , 
2021-11-06, 05:45:17, OK, 72%, 2.58, 6676, -11340, , 11.257, -11340, 72.1%, , , , , , , , , , , , 
2021-11-06, 05:45:18, OK, 72%, 2.58, 6676, -11340, , 11.257, -11340, 72.1%, , , , , , , , , , , , 
2021-11-06, 05:45:19, OK, 72%, 2.58, 6676, -11340, , 11.257, -11340, 72.1%, , , , , , , , , , , , 
2021-11-06, 05:45:20, OK, 72%, 2.58, 6676, -11340, , 11.257, -11340, 72.1%, , , , , , , , , , , , 
2021-11-06, 05:45:21, OK, 72%, 2.58, 6676, -11340, , 11.257, -11340, 72.1%, , , , , , , , , , , , 
2021-11-06, 05:45:23, OK, 72%, 2.58, 6676, -15908, , 11.314, -15908, 71.8%, , , , , , , , , , , , 
2021-11-06, 05:45:23, OK, 72%, 2.58, 6676, -15908, , 11.314, -15908, 71.8%, , , , , , , , , , , , 
2021-11-06, 05:45:25, OK, 72%, 2.58, 6676, -15908, , 11.314, -15908, 71.8%, , , , , , , , , , , , 
2021-11-06, 05:45:26, OK, 72%, 2.58, 6676, -15908, , 11.314, -15908, 71.8%, , , , , , , , , , , , 
2021-11-06, 05:45:27, OK, 72%, 2.58, 6676, -15908, , 11.314, -15908, 71.8%, , , , , , , , , , , , 
2021-11-06, 05:45:28, OK, 72%, 2.58, 6676, -15908, , 11.314, -15908, 71.8%, , , , , , , , , , , , 
2021-11-06, 05:45:29, OK, 72%, 2.58, 6676, -15908, , 11.314, -15908, 71.8%, , , , , , , , , , , , 
2021-11-06, 05:45:30, OK, 72%, 2.58, 6676, -15908, , 11.314, -15908, 71.8%, , , , , , , , , , , , 
2021-11-06, 05:45:31, OK, 72%, 2.58, 6676, -15908, , 11.314, -15908, 71.8%, , , , , , , , , , , , 
2021-11-06, 05:45:32, OK, 72%, 2.58, 6676, -15908, , 11.314, -15908, 71.8%, , , , , , , , , , , , 
2021-11-06, 05:45:33, OK, 72%, 2.58, 6676, -15908, , 11.314, -15908, 71.8%, , , , , , , , , , , , 
2021-11-06, 05:45:34, OK, 72%, 2.58, 6676, -15908, , 11.314, -15908, 71.8%, , , , , , , , , , , , 
2021-11-06, 05:45:35, OK, 72%, 2.58, 6676, -15908, , 11.314, -15908, 71.8%, , , , , , , , , , , , 
2021-11-06, 05:45:36, OK, 72%, 2.58, 6676, -15908, , 11.314, -15908, 71.8%, , , , , , , , , , , , 
2021-11-06, 05:45:37, OK, 72%, 2.58, 6676, -15908, , 11.314, -15908, 71.8%, , , , , , , , , , , , 
