Unique ID, Manufacturer, Chemistry, Voltage (Volts)
00287 2012/12/13Hewlett-PackardPrimary, Hewlett-Packard, Lithium Ion, 11.062

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2021-11-06, 21:38:34, OK, 3%, 0.00, -1, 39053, , 12.106, 39053, 3.1%, , , , , , , , , , , , 
2021-11-06, 21:39:04, OK, 5%, 0.00, -1, 39053, , 12.149, 39053, 4.9%, , , , , , , , , , , , 
2021-11-06, 21:39:34, OK, 6%, 0.00, -1, 39053, , 12.172, 39053, 5.7%, , , , , , , , , , , , 
2021-11-06, 21:40:04, OK, 7%, 0.00, -1, 39053, , 12.188, 39053, 6.6%, , , , , , , , , , , , 
2021-11-06, 21:40:34, OK, 8%, 0.00, -1, 39053, , 12.215, 39053, 8.3%, , , , , , , , , , , , 
2021-11-06, 21:41:04, OK, 9%, 0.00, -1, 39085, , 12.229, 39085, 9.1%, , , , , , , , , , , , 
2021-11-06, 21:41:34, OK, 10%, 0.00, -1, 39085, , 12.242, 39085, 10.0%, , , , , , , , , , , , 
2021-11-06, 21:42:04, OK, 12%, 0.00, -1, 39128, , 12.259, 39128, 11.7%, , , , , , , , , , , , 
2021-11-06, 21:42:34, OK, 13%, 0.00, -1, 39107, , 12.270, 39107, 12.6%, , , , , , , , , , , , 
2021-11-06, 21:43:04, OK, 13%, 0.00, -1, 39107, , 12.270, 39107, 12.6%, , , , , , , , , , , , 
2021-11-06, 21:43:34, OK, 15%, 0.00, -1, 39139, , 12.286, 39139, 15.2%, , , , , , , , , , , , 
2021-11-06, 21:44:04, OK, 16%, 0.00, -1, 39139, , 12.289, 39139, 16.0%, , , , , , , , , , , , 
2021-11-06, 21:44:34, OK, 18%, 0.00, -1, 39139, , 12.295, 39139, 17.8%, , , , , , , , , , , , 
2021-11-06, 21:45:04, OK, 19%, 0.00, -1, 39139, , 12.296, 39139, 18.6%, , , , , , , , , , , , 
2021-11-06, 21:45:34, OK, 19%, 0.00, -1, 39139, , 12.298, 39139, 19.5%, , , , , , , , , , , , 
2021-11-06, 21:46:04, OK, 21%, 0.00, -1, 39150, , 12.297, 39150, 21.2%, , , , , , , , , , , , 
2021-11-06, 21:46:34, OK, 22%, 0.00, -1, 39139, , 12.297, 39139, 22.0%, , , , , , , , , , , , 
2021-11-06, 21:47:04, OK, 23%, 0.00, -1, 39139, , 12.297, 39139, 22.9%, , , , , , , , , , , , 
2021-11-06, 21:47:34, OK, 25%, 0.00, -1, 39150, , 12.296, 39150, 24.7%, , , , , , , , , , , , 
2021-11-06, 21:48:04, OK, 26%, 0.00, -1, 39150, , 12.296, 39150, 25.5%, , , , , , , , , , , , 
2021-11-06, 21:48:34, OK, 26%, 0.00, -1, 39150, , 12.296, 39150, 25.5%, , , , , , , , , , , , 
2021-11-06, 21:49:04, OK, 28%, 0.00, -1, 39161, , 12.295, 39161, 28.1%, , , , , , , , , , , , 
2021-11-06, 21:49:34, OK, 29%, 0.00, -1, 39161, , 12.295, 39161, 29.0%, , , , , , , , , , , , 
2021-11-06, 21:50:04, OK, 30%, 0.00, -1, 39161, , 12.296, 39161, 29.8%, , , , , , , , , , , , 
2021-11-06, 21:50:34, OK, 32%, 0.00, -1, 39172, , 12.298, 39172, 31.6%, , , , , , , , , , , , 
2021-11-06, 21:51:04, OK, 32%, 0.00, -1, 39172, , 12.298, 39172, 31.6%, , , , , , , , , , , , 
2021-11-06, 21:51:34, OK, 34%, 0.00, -1, 39182, , 12.301, 39182, 34.2%, , , , , , , , , , , , 
2021-11-06, 21:52:04, OK, 35%, 0.00, -1, 39172, , 12.303, 39172, 35.1%, , , , , , , , , , , , 
2021-11-06, 21:52:34, OK, 36%, 0.00, -1, 39172, , 12.304, 39172, 35.9%, , , , , , , , , , , , 
2021-11-06, 21:53:04, OK, 38%, 0.00, -1, 39193, , 12.305, 39193, 37.6%, , , , , , , , , , , , 
2021-11-06, 21:53:34, OK, 38%, 0.00, -1, 39204, , 12.307, 39204, 38.5%, , , , , , , , , , , , 
2021-11-06, 21:54:04, OK, 38%, 0.00, -1, 39204, , 12.307, 39204, 38.5%, , , , , , , , , , , , 
2021-11-06, 21:54:34, OK, 41%, 0.00, -1, 39204, , 12.310, 39204, 41.1%, , , , , , , , , , , , 
2021-11-06, 21:55:04, OK, 42%, 0.00, -1, 39204, , 12.311, 39204, 42.0%, , , , , , , , , , , , 
2021-11-06, 21:55:34, OK, 43%, 0.00, -1, 39204, , 12.311, 39204, 42.8%, , , , , , , , , , , , 
2021-11-06, 21:56:04, OK, 45%, 0.00, -1, 39215, , 12.315, 39215, 44.5%, , , , , , , , , , , , 
