Unique ID, Manufacturer, Chemistry, Voltage (Volts)
00287 2012/12/13Hewlett-PackardPrimary, Hewlett-Packard, Lithium Ion, 11.573

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2021-11-12, 00:00:14, OK, 63%, 2.31, 5235, -13068, , 11.051, -13068, 63.0%, , , , , , , , , , , , 
2021-11-12, 00:00:44, OK, 63%, 2.31, 5235, -24732, , 10.709, -24732, 62.7%, , , , , , , , , , , , 
2021-11-12, 00:01:14, OK, 62%, 1.25, 2786, -15185, , 10.946, -15185, 62.2%, , , , , , , , , , , , 
2021-11-12, 00:01:44, OK, 62%, 1.25, 2786, -21017, , 10.804, -21017, 61.6%, , , , , , , , , , , , 
2021-11-12, 00:02:14, OK, 61%, 1.50, 3291, -18490, , 10.796, -18490, 61.1%, , , , , , , , , , , , 
2021-11-12, 00:02:44, OK, 60%, 1.53, 3310, -20023, , 10.923, -20023, 60.2%, , , , , , , , , , , , 
2021-11-12, 00:03:14, OK, 60%, 1.53, 3310, -13738, , 10.902, -13738, 59.9%, , , , , , , , , , , , 
2021-11-12, 00:03:44, OK, 60%, 1.53, 3310, -13738, , 10.902, -13738, 59.9%, , , , , , , , , , , , 
2021-11-12, 00:04:14, OK, 59%, 1.53, 3245, -20239, , 10.646, -20239, 58.8%, , , , , , , , , , , , 
2021-11-12, 00:04:44, OK, 58%, 1.85, 3859, -17744, , 10.771, -17744, 58.3%, , , , , , , , , , , , 
2021-11-12, 00:05:14, OK, 58%, 1.85, 3859, -16492, , 10.850, -16492, 58.0%, , , , , , , , , , , , 
2021-11-12, 00:05:44, OK, 57%, 3.11, 6384, -11167, , 10.984, -11167, 57.3%, , , , , , , , , , , , 
2021-11-12, 00:06:14, OK, 57%, 3.11, 6384, -12614, , 10.965, -12614, 57.0%, , , , , , , , , , , , 
2021-11-12, 00:06:44, OK, 56%, 3.10, 6245, -9947, , 11.025, -9947, 56.5%, , , , , , , , , , , , 
2021-11-12, 00:07:14, OK, 56%, 3.10, 6245, -15692, , 10.871, -15692, 56.3%, , , , , , , , , , , , 
2021-11-12, 00:07:44, OK, 56%, 3.10, 6245, -10444, , 11.024, -10444, 56.0%, , , , , , , , , , , , 
2021-11-12, 00:08:14, OK, 56%, 3.10, 6245, -16394, , 10.894, -16394, 55.5%, , , , , , , , , , , , 
2021-11-12, 00:08:44, OK, 55%, 3.48, 6887, -8834, , 11.048, -8834, 55.3%, , , , , , , , , , , , 
