Unique ID, Manufacturer, Chemistry, Voltage (Volts)

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2021-11-13, 00:36:43, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:37:13, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:37:43, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:38:13, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:38:43, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:39:13, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:39:43, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:40:13, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:40:43, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:41:13, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:41:43, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:42:13, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:42:43, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:43:13, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:43:43, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:44:13, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:44:43, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:45:13, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:45:43, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:46:13, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:46:43, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:47:13, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:47:43, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:48:13, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:48:43, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:49:13, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:49:43, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:50:13, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:50:43, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:51:13, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:51:43, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:52:13, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:52:43, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:53:13, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:53:43, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:54:13, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:54:43, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 00:55:13, OK, 100%, 0.00, -1, 0, , , , , , , , , , , , , , , , 
2021-11-13, 01:04:58, OK, 61%, 0.00, -1, -14159, , 11.050, -14159, 61.5%, , , , , , , , , , , , 
2021-11-13, 01:05:28, OK, 61%, 2.93, 6437, -10454, , 11.133, -10454, 61.2%, , , , , , , , , , , , 
2021-11-13, 01:05:58, OK, 61%, 2.93, 6437, -16740, , 10.929, -16740, 60.6%, , , , , , , , , , , , 
2021-11-13, 01:06:28, OK, 60%, 1.34, 2901, -22820, , 10.752, -22820, 60.2%, , , , , , , , , , , , 
2021-11-13, 01:06:58, OK, 59%, 2.78, 5907, -11070, , 11.078, -11070, 59.4%, , , , , , , , , , , , 
2021-11-13, 01:07:28, OK, 59%, 2.78, 5907, -19256, , 10.866, -19256, 59.2%, , , , , , , , , , , , 
2021-11-13, 01:07:58, OK, 59%, 2.78, 5907, -16859, , 10.842, -16859, 58.8%, , , , , , , , , , , , 
2021-11-13, 01:08:28, OK, 58%, 2.58, 5396, -11880, , 11.036, -11880, 58.3%, , , , , , , , , , , , 
2021-11-13, 01:08:58, OK, 58%, 2.58, 5396, -11880, , 11.036, -11880, 58.3%, , , , , , , , , , , , 
2021-11-13, 01:09:28, OK, 58%, 2.58, 5396, -10303, , 11.053, -10303, 57.8%, , , , , , , , , , , , 
